Model Name,Price,CC,Mileage,Weight,Links
Harley-Davidson Roadster,"₹ 10,99,000",1202.0 CC,20 Km/l,250 Kg,https://www.carandbike.com/harley-davidson-bikes/roadster
Kawasaki KLX 110,"₹ 2,99,500",112.0 CC,80 Km/l,76 Kg,https://www.carandbike.com/kawasaki-bikes/klx-110
TVS Apache RTR 165 RP,"₹ 1,45,001",164.9 CC,N/A,148 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-165-rp
Ducati Monster 797,"₹ 8,03,000",803.0 CC,18.86 Km/l,193 Kg,https://www.carandbike.com/ducati-bikes/monster-797
Aprilia SR 160,"₹ 1,17,494",160.0 CC,35 Km/l,122 Kg,https://www.carandbike.com/aprilia-bikes/sr-160
Kawasaki Z1000R,"₹ 16,10,000",1043.0 CC,15 Km/l,221 Kg,https://www.carandbike.com/kawasaki-bikes/z1000r
BMW S 1000 R,"₹ 17,90,000",999.0 CC,21 Km/l,199 Kg,https://www.carandbike.com/bmw-bikes/s-1000-r
Odysse Evoqis,"₹ 1,57,000",NA,N/A,200 Kg,https://www.carandbike.com/odysse-bikes/evoqis
MV Agusta Brutale 800 RR,"₹ 20,52,356",798.0 CC,18 Km/l,175 Kg,https://www.carandbike.com/mv-agusta-bikes/brutale-800-rr
Bajaj Pulsar F250,"₹ 1,40,000",249.1 CC,40 Km/l,164 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-f250
Ampere V48,"₹ 38,719",NA,45 Km/Full Charge,84 Kg,https://www.carandbike.com/ampere-bikes/v48
Ducati Monster 821,"₹ 10,99,000",821.0 CC,13 - 18.51 Km/l,205 Kg,https://www.carandbike.com/ducati-bikes/monster-821
Kawasaki Ninja ZX-14R,"₹ 19,70,000",1441.0 CC,18 Km/l,269 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-zx-14r
Aprilia RSV4,"₹ 23,69,000",1099.0 CC,12 Km/l,202 Kg,https://www.carandbike.com/aprilia-bikes/rsv4
BMW 850 GS,"₹ 12,50,000",853.0 CC,22 Km/l,229 Kg,https://www.carandbike.com/bmw-bikes/850-gs
Kabira Mobility KM 3000,"₹ 1,26,990",NA,120 Km/Full Charge,150 Kg,https://www.carandbike.com/kabira-mobility-bikes/km-3000
BMW 750 GS,"₹ 8,99,000",853.0 CC,22 Km/l,224 Kg,https://www.carandbike.com/bmw-bikes/750-gs
Ampere Reo,"₹ 44,838",NA,45 - 55 Km/Full Charge,70 Kg,https://www.carandbike.com/ampere-bikes/reo
KTM 790 Duke,"₹ 8,63,945",799.0 CC,22.72 Km/l,169 Kg,https://www.carandbike.com/ktm-bikes/790-duke
Okinawa Ridge +,"₹ 64,998",NA,100 Km/Full Charge,96 Kg,https://www.carandbike.com/okinawa-bikes/ridge-plus
Harley-Davidson Forty-Eight,"₹ 10,61,000",1202.0 CC,20 Km/l,252 Kg,https://www.carandbike.com/harley-davidson-bikes/forty-eight
Ducati  Multistrada V2,"₹ 14,65,000",937.0 CC,16 Km/l,230 Kg,https://www.carandbike.com/ducati-bikes/multistrada-v2
